feature_path,read_success,error,shape,dtype,count,dim,nan_count,inf_count,zero_vector_count,norm_min,norm_p01,norm_p25,norm_median,norm_p75,norm_p99,norm_max,norm_mean,norm_sd,slide_id,scale
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25019474B2.h5,True,,"[3619,512]",float32,3619,512,0,0,0,63.4399917263007,70.84048785808508,77.87234885011185,80.44645873362863,83.09844626332415,87.29206438226542,89.42133497593842,80.30011618064081,3.693442483214668,25019474B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25019503B.h5,True,,"[1589,512]",float32,1589,512,0,0,0,70.36028623585318,74.4195386413765,79.59291077053163,81.08437020455854,82.42093253780334,85.71450229939545,87.48608620556048,80.92135939385611,2.314447304601078,25019503B,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25019629B2.h5,True,,"[2187,512]",float32,2187,512,0,0,0,65.65941192065861,71.49827819494645,77.37282876632472,79.10371940912052,80.96570565304413,85.85060664636401,89.01197746799893,79.0976002696547,2.9126901386072603,25019629B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25019675B2.h5,True,,"[2526,512]",float32,2526,512,0,0,0,65.5956040653596,73.39765603635058,79.58412688185311,81.61640484958858,83.74845886633535,87.85657554455668,90.33840626002939,81.54438367066653,3.1210870000090805,25019675B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25019705B2.h5,True,,"[4073,512]",float32,4073,512,0,0,0,68.18337096430804,73.97853764722008,80.17033212445922,82.59744676471665,84.84940550824338,88.64305196887237,90.29666665665637,82.37798828000311,3.282445790634301,25019705B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25020232B.h5,True,,"[4933,512]",float32,4933,512,0,0,0,58.86130624729617,66.65622202231448,77.56866989085961,80.09156149643354,82.44905513936533,86.98093235965607,89.76098983965922,79.62981500559238,4.158895472247016,25020232B,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25020353B2.h5,True,,"[1279,512]",float32,1279,512,0,0,0,67.2847068295097,70.89272096799066,76.04954174943464,78.06318030030366,80.02289312872912,84.81118527253201,86.09930486109357,78.04896481621664,2.9665411559464627,25020353B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25020556B4.h5,True,,"[2208,512]",float32,2208,512,0,0,0,62.56063357816766,69.11295350407349,78.92758820271908,80.62604341936576,82.41477671964091,86.07685429269998,88.26667013961057,80.31757994326586,3.230086088394647,25020556B4,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25020714B4.h5,True,,"[4936,512]",float32,4936,512,0,0,0,56.717914282923914,69.88534823558584,78.72319266836391,80.62818803242547,82.29269479818242,85.80682335254164,88.03947245784398,80.25890100497688,3.1596093266192122,25020714B4,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25020799B3.h5,True,,"[4645,512]",float32,4645,512,0,0,0,66.46329226988951,73.36619997669183,79.7220475727842,82.23697277895842,84.46230724654205,88.12657633059786,90.4043766473356,81.95134193130944,3.3120701696757737,25020799B3,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25020799B5.h5,True,,"[3920,512]",float32,3920,512,0,0,0,61.61679485779373,72.2213973476869,78.95820390943418,81.10909731752545,83.22471293199045,87.55291753466877,89.15318402095423,80.95355762966909,3.260062277591555,25020799B5,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021196B2.h5,True,,"[1453,512]",float32,1453,512,0,0,0,62.432587696055215,68.89078859397071,76.67591872026104,78.71579582985737,80.68024161805597,84.8722604282791,88.50432877171116,78.4747093574112,3.1964200453888436,25021196B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021277B3.h5,True,,"[1635,512]",float32,1635,512,0,0,0,63.89405813736688,68.70047600978398,77.10775519560791,79.86358722097927,82.30892830666207,86.0442948618075,88.10307991709713,79.43849461769388,3.74084006716898,25021277B3,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021277B4.h5,True,,"[1059,512]",float32,1059,512,0,0,0,63.928579255421084,68.75288742011334,75.58366113866441,78.32197775406254,80.87106400052488,86.5521662561768,87.97429168784804,78.12850517658656,3.946132947935236,25021277B4,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021421B2.h5,True,,"[4940,512]",float32,4940,512,0,0,0,65.65740556151383,72.01570846123994,78.09089008050017,80.07959856866464,81.99335166649749,86.32752378031613,88.39762661461155,79.95321966951221,2.9663179810110707,25021421B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021487B.h5,True,,"[3366,512]",float32,3366,512,0,0,0,56.81696291255393,69.42761607160402,78.101037545839,80.10275776763757,81.95469783497748,85.77556332652307,87.6383659354455,79.7632917678205,3.2075807289851306,25021487B,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021555B2.h5,True,,"[654,512]",float32,654,512,0,0,0,67.07286198221567,71.45361083914511,78.52896142302453,80.64781779753413,82.60681875948865,86.27945736154642,87.56062811981423,80.37750163394014,3.1835734884509326,25021555B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021558B2.h5,True,,"[1047,512]",float32,1047,512,0,0,0,65.69086632076225,70.09519486160669,79.00092020529237,81.13496542262614,82.95922313307793,87.11439073862812,89.5015533419717,80.81905691387064,3.30395137013343,25021558B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021665B2.h5,True,,"[1990,512]",float32,1990,512,0,0,0,61.99263476718348,70.60537264174516,77.97731903918151,80.07170829168302,82.02267395862,86.46929148649777,89.16073913304633,79.91490302006872,3.202234971311221,25021665B2,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021665B3.h5,True,,"[2896,512]",float32,2896,512,0,0,0,65.00317302198998,70.45750065495307,78.01486814255951,79.93784343678229,81.63549222593109,85.99321810298026,89.63281789543706,79.6949896933774,3.0509644722879954,25021665B3,20x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_20x/25021672B.h5,True,,"[987,512]",float32,987,512,0,0,0,63.64695050797974,71.16680323076886,79.28716909578944,81.72422477897048,83.88612746235509,87.70209383356068,90.08925465225542,81.41965192563313,3.407091522625463,25021672B,20x
