slide_id,low_count,high_count,edges,low_with_child_count,low_child_count_mean,low_child_count_median,high_with_parent_count,unmapped_high_count,high_parent_coverage,low_child_coverage,padding_low_gt50_count,padding_high_gt50_count
2466159-B2,234,3385,7071,234,30.21794871794872,34.5,3344,41,0.987887740029542,1.0,0,0
2466264-B2,188,2653,5395,188,28.6968085106383,32.0,2612,41,0.9845457972107049,1.0,2,0
2466285-B,154,2263,3843,154,24.954545454545453,28.0,2206,57,0.9748121961997349,1.0,0,0
2466580-B5,102,1408,2541,102,24.91176470588235,25.0,1337,71,0.9495738636363636,1.0,0,0
2466581-B1,300,4444,9586,300,31.953333333333333,36.0,4428,16,0.9963996399639964,1.0,0,0
2466581-B2,175,2334,4800,175,27.428571428571427,29.0,2288,46,0.9802913453299057,1.0,0,0
2466584-B,206,2916,5931,206,28.79126213592233,31.0,2867,49,0.983196159122085,1.0,0,0
2466703-B4,73,992,1301,73,17.82191780821918,19.0,943,49,0.9506048387096774,1.0,0,0
2466718-B,317,4685,9976,317,31.470031545741325,36.0,4656,29,0.9938100320170757,1.0,0,2
2466866-B,206,2678,5070,206,24.611650485436893,26.0,2570,108,0.9596713965646004,1.0,0,0
2466881-B2,212,2895,5864,212,27.660377358490567,30.5,2842,53,0.981692573402418,1.0,0,0
2466884-B2,136,1821,3107,136,22.845588235294116,25.5,1781,40,0.9780340472267984,1.0,0,0
2466891-B2,435,6508,13860,435,31.862068965517242,36.0,6454,54,0.9917025199754149,1.0,1,0
2466893-B2,192,2822,5743,192,29.911458333333332,34.0,2793,29,0.9897236002834869,1.0,2,0
2466898-B2,276,4081,7115,276,25.778985507246375,29.0,4035,46,0.9887282528791963,1.0,0,2
2466899-B2,218,2867,4628,218,21.229357798165136,22.0,2749,118,0.9588419951168469,1.0,0,0
2466923-B2,115,1560,2187,115,19.017391304347825,21.0,1532,28,0.982051282051282,1.0,0,0
2468105-B2,299,4143,3934,299,13.157190635451505,16.0,3931,212,0.9488293507120444,1.0,0,0
2468321-B2,141,1885,3733,141,26.47517730496454,27.0,1853,32,0.9830238726790451,1.0,0,0
2468325-B,167,2302,4616,167,27.64071856287425,30.0,2265,37,0.9839270199826238,1.0,0,0
2468417-B2,184,2528,4924,184,26.76086956521739,28.0,2474,54,0.9786392405063291,1.0,0,0
2468419-B2,316,4617,9752,316,30.860759493670887,36.0,4566,51,0.9889538661468485,1.0,1,2
2468419-B3,249,3633,7344,249,29.49397590361446,33.0,3553,80,0.9779796311588219,1.0,0,0
2468442-B2,396,5816,11864,396,29.95959595959596,35.0,5657,159,0.9726616231086658,1.0,0,0
2468450-B2,183,2583,5194,183,28.382513661202186,32.0,2554,29,0.9887727448703059,1.0,0,0
2468673-B2,158,2236,4224,158,26.734177215189874,28.0,2115,121,0.9458855098389982,1.0,1,8
2468698-B2,276,3932,8178,276,29.630434782608695,33.0,3880,52,0.9867751780264497,1.0,0,0
2468720-B2,244,3495,7238,244,29.66393442622951,33.0,3457,38,0.9891273247496424,1.0,0,0
2468796-B3,295,4342,7642,295,25.90508474576271,30.0,4274,68,0.9843390142791341,1.0,0,0
2468954-B2,107,1402,2237,107,20.906542056074766,22.0,1329,73,0.9479315263908702,1.0,0,0
2469004-B2,173,2188,4367,173,25.24277456647399,25.0,2142,46,0.9789762340036563,1.0,0,0
2469005-B2,238,3361,6987,238,29.357142857142858,33.0,3333,28,0.9916691460874739,1.0,0,0
2469007-B2,157,2149,4153,157,26.452229299363058,28.0,2099,50,0.9767333643555142,1.0,0,0
2469019-B2,257,3594,7715,257,30.019455252918288,36.0,3575,19,0.9947134112409571,1.0,0,0
2469023-B2,173,2504,4463,173,25.797687861271676,28.0,2489,15,0.9940095846645367,1.0,0,0
2469023-B4,173,2349,4831,173,27.92485549132948,31.0,2311,38,0.9838229033631333,1.0,0,0
2469024-B,115,1556,3143,115,27.330434782608695,29.0,1538,18,0.9884318766066839,1.0,0,0
2469029-B2,162,2168,4267,162,26.339506172839506,27.0,2137,31,0.9857011070110702,1.0,0,0
2469033-B2,79,1058,1786,79,22.60759493670886,23.0,1041,17,0.9839319470699432,1.0,0,0
2469047-B2,212,3009,6173,212,29.117924528301888,33.0,2954,55,0.981721502160186,1.0,2,0
2469072-B2,203,2721,3093,203,15.236453201970443,17.0,2564,157,0.9423006247703051,1.0,0,0
2469074-B2,104,1517,3075,104,29.567307692307693,33.0,1498,19,0.987475280158207,1.0,0,0
