slide_id,level,width_px,height_px,openslide_downsample,downsample_x_from_dimensions,downsample_y_from_dimensions,effective_magnification,effective_magnification_x,effective_magnification_y,effective_mpp_x,effective_mpp_y
2460404-B3,3,2605,1371,64.02151714077316,64.0,64.04303428154631,0.6247899422946561,0.625,0.6245800257394395,16.907904,16.919273054704593
2460405-B2,0,146238,82984,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460405-B2,1,36559,20746,4.000027353045762,4.0000547060915235,4.0,9.99993161785321,9.99986323664164,10.0,1.0567584525834952,1.056744
2460405-B2,2,9139,5186,16.001537255500352,16.001531896268737,16.00154261473197,2.4997598269035333,2.4997606641228685,2.4997589896847585,4.227380705547652,4.22738353721558
2460405-B2,3,2284,1296,64.02900477827507,64.02714535901926,64.03086419753086,0.624716878522715,0.6247350209931756,0.6246987371059481,16.91507542381786,16.916057888888886
2460591-B2,0,185395,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460591-B2,1,46348,21950,4.000100700985886,4.0000647277120915,4.000136674259681,9.999748253873056,9.999838183338277,9.999658326025306,1.0567611001553465,1.0567801074259682
2460591-B2,2,11587,5487,16.00113182466056,16.000258910848366,16.002004738472753,2.499823164905932,2.499959545834569,2.4996867988565312,4.227044400621386,4.227505623838162
2460591-B2,3,2896,1371,64.03032238939194,64.01761049723757,64.04303428154631,0.6247040231461789,0.6248280697969201,0.6245800257394395,16.912556446823203,16.919273054704593
2460602-B,0,154873,80574,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460602-B,1,38718,20143,4.000062558928159,4.000025827780361,4.000099290075957,9.999843605125577,9.999935430966017,9.999751780971529,1.0567508233379823,1.0567702310480065
2460602-B,2,9679,5035,16.00185519218554,16.000929848124805,16.002780536246277,2.4997101598278357,2.499854719673539,2.499565616700176,4.2272216528566995,4.227710578748758
2460602-B,3,2419,1258,64.03642401733495,64.02356345597354,64.04928457869634,0.6246444990302991,0.6247699728164366,0.624519075632338,16.914129135179824,16.920924295707472
2460628-B2,0,149652,77562,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460628-B2,1,37413,19390,4.00005157297576,4.0,4.000103145951521,9.999871069222936,10.0,9.999742141770454,1.056744,1.0567712497163486
2460628-B2,2,9353,4847,16.001245401050173,16.000427670266223,16.002063131834124,2.499805421231448,2.499933178307006,2.4996776772130684,4.227088984496952,4.22752105054673
2460628-B2,3,2338,1211,64.02822431108056,64.00855431993156,64.04789430222957,0.6247244934618263,0.6249164728837571,0.6245326319589489,16.91016393156544,16.920557004128817
2460641-B2,0,148045,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460641-B2,1,37011,21950,4.000081846627017,4.000027018994353,4.000136674259681,9.999795387619166,9.99993245297038,9.999658326025306,1.056751138040042,1.0567801074259682
2460641-B2,2,9252,5487,16.001704920036204,16.001405101599655,16.002004738472753,2.499733634627572,2.499780472153737,2.4996867988565312,4.2273472081712065,4.227505623838162
2460641-B2,3,2313,1371,64.02432734397246,64.00562040639862,64.04303428154631,0.6247625185517202,0.6249451180384342,0.6245800257394395,16.909388832684826,16.919273054704593
2460643-B,0,123747,80574,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460643-B,1,30936,20143,4.000098132237358,4.000096974398759,4.000099290075957,9.999754675425166,9.999757569880481,9.999751780971529,1.0567696192785105,1.0567702310480065
2460643-B,2,7734,5035,16.001584216920655,16.000387897595036,16.002780536246277,2.4997524906129325,2.4999393924701203,2.499565616700176,4.227078477114042,4.227710578748758
2460643-B,3,1933,1258,64.03369557439731,64.0181065700983,64.04928457869634,0.6246711148121405,0.6248232280378514,0.624519075632338,16.912687502327987,16.920924295707472
2460753-B2,0,134591,84992,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460753-B2,1,33647,21248,4.000044580497518,4.000089160995037,4.0,9.999888549998328,9.999777102480849,10.0,1.0567675550866347,1.056744
2460753-B2,2,8411,5312,16.000891689454285,16.001783378908573,16.0,2.4998606812870823,2.4997213781010617,2.5,4.22744714374034,4.226976
2460753-B2,3,2102,1328,64.01498572787821,64.02997145575642,64.0,0.6248536892601414,0.6247074470061148,0.625,16.915822039010465,16.907904
2460770-B2,0,151258,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460770-B2,1,37814,21950,4.000094782361765,4.0000528904638495,4.000136674259681,9.999763049710264,9.99986777558873,9.999658326025306,1.0567579729200824,1.0567801074259682
2460770-B2,2,9453,5487,16.001531301850363,16.00105786522797,16.002004738472753,2.4997607569829605,2.4998347194859116,2.4996867988565312,4.227255473183116,4.227505623838162
2460770-B2,3,2363,1371,64.02701862194115,64.01100296233601,64.04303428154631,0.624736257613166,0.6248925676658426,0.6245800257394395,16.910810828607698,16.919273054704593
2460949-B3,0,133386,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460949-B3,1,33346,21950,4.000098325734172,4.000059977208661,4.000136674259681,9.999754191706892,9.999850059226604,9.999658326025306,1.0567598451388471,1.0567801074259682
2460949-B3,2,8336,5487,16.001602177297798,16.00119961612284,16.002004738472753,2.499749684862796,2.499812574033257,2.4996867988565312,4.227292921785028,4.227505623838162
2460949-B3,3,2084,1371,64.02391637301884,64.00479846449136,64.04303428154631,0.6247665289163243,0.6249531435083142,0.6245800257394395,16.909171687140113,16.919273054704593
2460960-B,0,147644,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460960-B,1,36911,21950,4.000068337129841,4.0,4.000136674259681,9.999829160094075,10.0,9.999658326025306,1.056744,1.0567801074259682
2460960-B,2,9227,5487,16.001652634761466,16.00130053105018,16.002004738472753,2.4997418024876574,2.4997968085394597,2.4996867988565312,4.2273195820960225,4.227505623838162
2460960-B,3,2306,1371,64.03452668110273,64.02601908065915,64.04303428154631,0.6246630071805376,0.6247460106743247,0.6245800257394395,16.91477787684302,16.919273054704593
2460974-B2,0,140816,80574,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460974-B2,1,35204,20143,4.000049645037978,4.0,4.000099290075957,9.999875888945429,10.0,9.999751780971529,1.056744,1.0567702310480065
2460974-B2,2,8801,5035,16.00139026812314,16.0,16.002780536246277,2.4997827894795637,2.5,2.499565616700176,4.226976,4.227710578748758
2460974-B2,3,2200,1258,64.02827865298454,64.00727272727272,64.04928457869634,0.6247239632473781,0.6249289853425748,0.624519075632338,16.90982535272727,16.920924295707472
2461002-B2,0,123747,58887,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461002-B2,1,30936,14721,4.000150382451061,4.000096974398759,4.000203790503362,9.999624058006118,9.999757569880481,9.999490549696878,1.0567696192785105,1.056797838597921
2461002-B2,2,7734,3680,16.001145035754043,16.000387897595036,16.001902173913045,2.4998211009662925,2.4999393924701203,2.4997028206565113,4.227078477114042,4.227478527717391
2461487-B2,0,173748,53264,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461487-B2,1,43437,13316,4.0,4.0,4.0,10.0,10.0,10.0,1.056744,1.056744
2461487-B2,2,10859,3329,16.000184179022007,16.000368358044017,16.0,2.4999712223590764,2.4999424453806665,2.5,4.227073315038217,4.226976
2461671-B2,0,142423,83385,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461671-B2,1,35605,20846,4.000066114331345,4.000084257828957,4.000047970833733,9.999834716903534,9.999789359864629,9.999880074353902,1.0567662597388006,1.0567566732226805
2461671-B2,2,8901,5211,16.001256772103968,16.000786428491182,16.001727115716754,2.499803644782115,2.4998771265877,2.499730167296276,4.227183763397371,4.227432279792746
2461671-B2,3,2225,1302,64.0270579402475,64.01033707865169,64.04377880184332,0.6247358739695572,0.6248990682684679,0.6245727648857708,16.910634911460672,16.919469746543776
2461672-B2,0,167724,72742,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461672-B2,1,41931,18185,4.000054990376684,4.0,4.000109980753368,9.999862525948227,10.0,9.999725055676224,1.056744,1.0567730553753092
2461672-B2,2,10482,4546,16.00123233065495,16.0011448196909,16.001319841619004,2.4998074631644793,2.4998211347213277,2.4997937917571695,4.22727844533486,4.227324683677958
2461672-B2,3,2620,1136,64.02512229867756,64.01679389312977,64.03345070422536,0.6247547613169683,0.6248360401612172,0.6246735036155178,16.91234071145038,16.91674120774648
2461677-B2,0,146840,64108,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461677-B2,1,36710,16027,4.0,4.0,4.0,10.0,10.0,10.0,1.056744,1.056744
2461677-B2,2,9177,4006,16.001933625659362,16.000871744578838,16.00299550673989,2.4996979074990877,2.499863797330428,2.499532039683035,4.227206302713305,4.227767370943584
2461698-B,0,157081,83586,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461698-B,1,39270,20896,4.000060588414678,4.000025464731347,4.000095712098009,9.999848531257618,9.999936338576914,9.999760725480344,1.0567507274255155,1.0567692857963245
2461698-B,2,9817,5224,16.000649812705745,16.000916777019455,16.000382848392036,2.499898470888159,2.4998567617980534,2.499940181370086,4.227218199653661,4.227077143185298
2461698-B,3,2454,1306,64.00585942131545,64.01018744906276,64.00153139356814,0.624942784327009,0.6249005290264259,0.6249850453425215,16.91059538141809,16.90830857274119
2461700-B2,0,109691,56477,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461700-B2,1,27422,14119,4.000090113878247,4.000109401210707,4.000070826545789,9.999774720379586,9.99972650445342,9.999822936770721,1.0567729022682517,1.0567627113818259
2461700-B2,2,6855,3529,16.002644215615575,16.001604668125456,16.003683763105695,2.4995869095788255,2.4997492957489675,2.499424544504843,4.227399930853391,4.22794919863984
2461703-B3,0,153065,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461703-B3,1,38266,21950,4.0000814035595695,4.000026132859458,4.000136674259681,9.99979649524258,9.999934668278183,9.999658326025306,1.0567509039356087,1.0567801074259682
2461703-B3,2,9566,5487,16.001472785293245,16.000940832113738,16.002004738472753,2.499769898478564,2.49985300362591,2.4996867988565312,4.2272245546728,4.227505623838162
2461703-B3,3,2391,1371,64.03009095925916,64.01714763697198,64.04303428154631,0.6247062810741759,0.6248325874628425,0.6245800257394395,16.91243416562108,16.919273054704593
2461718-B3,0,127362,84188,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461718-B3,1,31840,21047,4.000031407035175,4.000062814070351,4.0,9.999921483028558,9.999842967290087,10.0,1.0567605945979897,1.056744
2461718-B3,2,7960,5261,16.001266095732415,16.000251256281405,16.002280935183425,2.499802188194853,2.499960741822522,2.499643654677626,4.227042378391959,4.227578591142368
2461718-B3,3,1990,1315,64.01114890039551,64.00100502512562,64.0212927756654,0.6248911429826383,0.6249901854556305,0.6247921318952819,16.908169513567834,16.91352925323194
2461755-B3,0,161098,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461755-B3,1,40274,21950,4.0000931670449225,4.000049659830164,4.000136674259681,9.999767087812629,9.999875851965884,9.999658326025306,1.0567571194318914,1.0567801074259682
2461755-B3,2,10068,5487,16.001498992200222,16.000993245927692,16.002004738472753,2.4997658044098006,2.4998448149573553,2.4996867988565312,4.227238401668653,4.227505623838162
2461755-B3,3,2517,1371,64.02350363262855,64.00397298371077,64.04303428154631,0.6247705565993836,0.6249612037393388,0.6245800257394395,16.90895360667461,16.919273054704593
2461836-B2,0,125354,71538,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461836-B2,1,31338,17884,4.000087826043526,4.000063820282086,4.000111831804966,9.999780439711964,9.999840451840388,9.999720428303837,1.056760860425043,1.0567735443972266
2461836-B2,2,7834,4471,16.00086190716367,16.00127648710748,16.000447327219863,2.499865334260012,2.499800564800485,2.499930107075959,4.227313230022976,4.227094177588906
2461836-B2,3,1958,1117,64.03310660851929,64.02145045965271,64.04476275738585,0.6246768604332903,0.6247905930405092,0.6245631692247477,16.91357091113381,16.919729693822738
2461857-B2,0,138005,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2461857-B2,1,34501,21950,4.0000828294633965,4.000028984667111,4.000136674259681,9.99979293062937,9.999927538857289,9.999658326025306,1.0567516573432651,1.0567801074259682
2461857-B2,2,8625,5487,16.00129222430884,16.000579710144926,16.002004738472753,2.4997981062574937,2.49990942357161,2.4996867988565312,4.227129151304347,4.227505623838162
2461857-B2,3,2156,1371,64.02638727064328,64.00974025974025,64.04303428154631,0.6247424180114624,0.6249048947501903,0.6245800257394395,16.910477240259738,16.919273054704593
2461861-B2,0,81779,57481,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
