slide_id,low_scale,high_scale,coverage_calculable,low_bbox_x_min,low_bbox_y_min,low_bbox_x_max,low_bbox_y_max,high_bbox_x_min,high_bbox_y_min,high_bbox_x_max,high_bbox_y_max,bbox_iou,low_bbox_fraction_of_wsi,high_bbox_fraction_of_wsi,high_low_bbox_area_ratio,normalized_bbox_center_distance,low_coordinate_count,high_coordinate_count,high_low_coordinate_count_ratio
2482055-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,16353.0,1248.0,157301.25083284342,84128.51321304902,16353.0,1248.0,158325.01254102777,82080.03498861048,0.9684237750370912,0.8147054584476581,0.8003404277522663,0.9823678231851264,0.0061755296610519405,332,4895,14.743975903614459
2482056-B4,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7808.0,272.0,153207.21722528638,69543.47407407407,7808.0,272.0,151159.0,69543.0,0.9859064008908287,0.9658282800031822,0.9522162834165168,0.9859064008908285,0.006171545326992709,223,3063,13.73542600896861
2482056-B9,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7856.0,5968.0,137463.2614319755,82582.39490937139,7856.0,5968.0,134935.00726158734,79510.0,0.9411731734184566,0.8485430368402415,0.7986259427650645,0.9411731734184566,0.012158835109634,187,2621,14.016042780748663
2482111-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7904.0,0.0,130337.08930232558,90112.51321304902,7904.0,0.0,131361.0223255814,88064.03498861048,0.9693450068747724,0.9131595237244602,0.899864504191042,0.9854406385872291,0.007015055039491529,424,6180,14.575471698113208
2482461-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7728.0,7424.0,128661.29812507279,69761.5021577089,7728.0,112.0,137609.01490538573,70785.02510542316,0.8212888722092953,0.6725571366333278,0.8189044797649894,1.217598379617595,0.03422045136870882,266,3947,14.838345864661655
2482483-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,15857.0,0.0,134840.43083136991,81232.51321304902,15857.0,0.0,135864.02153975598,80208.03498861048,0.9790717888528805,0.7718225358999601,0.7686446550958322,0.9958826276037375,0.004323424372373159,339,4942,14.578171091445428
2482607-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7760.0,7696.0,139600.0,73926.40424092037,7760.0,8720.0,138576.0,71184.04330908475,0.9358071478122812,0.8499228379138929,0.79536386680872,0.9358071478122812,0.006201811776433773,251,3517,14.01195219123506
2482883-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8096.0,14288.0,181110.26485041814,72464.19508477805,8096.0,14288.0,181110.0,71440.0,0.9823934416538078,0.6457157412241465,0.6343469093512288,0.9823934416538077,0.0025137923119338914,390,5651,14.48974358974359
2482886-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,9696.0,6416.0,135612.40843304843,79320.51321304902,9696.0,6416.0,133564.01458564796,82392.03498861048,0.9445834997306923,0.7445896170695249,0.7633365106765854,1.025177484586533,0.011146630088982801,299,4097,13.702341137123746
2482896-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8272.0,3056.0,135048.33231059712,71815.46451612902,8272.0,3056.0,134810.02265620392,79496.0129019252,0.8980006059728549,0.8099833380509707,0.8987671932436353,1.1096119525202846,0.02445404624273498,143,1878,13.132867132867133
2482947-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,12561.0,9216.0,117126.33759725702,55344.233629933835,12561.0,9216.0,115078.01687874991,53296.0,0.9368778632891703,0.5668152316399582,0.5310366430986002,0.9368778632891703,0.010334451291769138,148,2208,14.91891891891892
2482952-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,14576.0,2832.0,130832.02785636562,77873.51321304902,14576.0,2832.0,145168.00696409142,78897.03498861048,0.878244416940758,0.6757238701402041,0.7694029783804309,1.1386351916512727,0.04196065468862449,235,3325,14.148936170212766
2482956-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,19681.0,8336.0,154012.35020519837,64454.45586364793,19681.0,8336.0,151964.00673418387,63430.04883942766,0.9667755417020628,0.7881228004976497,0.7619378473788622,0.966775541702063,0.006958710196720163,100,1329,13.29
2482957-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7808.0,6720.0,106727.46669471322,60432.05908146781,7808.0,6720.0,107751.0089739545,61456.01477036695,0.9712431600109636,0.6716124410547424,0.6914977306477618,1.0296082805759081,0.005421691542186645,143,2109,14.748251748251748
2482962-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,49392.0,5152.0,184928.02146570518,82071.42182350787,45296.0,5152.0,186976.00536642628,78999.01171624714,0.920017307304526,0.6251111983829675,0.6273472884928477,1.003577107746053,0.008796492997185872,105,1333,12.695238095238095
2482964-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,41138.0,0.0,190458.23318979796,86016.51321304902,41138.0,0.0,187718.01589864612,83968.03498861048,0.9582708139954192,0.7570478446729573,0.7254568543482326,0.9582708139954194,0.008059876763658855,475,6988,14.711578947368421
2482969-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,15521.0,5568.0,145754.31372549018,82200.51321304902,15521.0,5568.0,143706.02138918286,80897.03498861048,0.9675301876324996,0.7913884647860792,0.765692229824671,0.9675301876324996,0.007211246869782922,302,4318,14.298013245033113
2482992-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,16096.0,112.0,161940.12495119096,71723.79850280724,16096.0,112.0,158868.0062474071,69675.0399189147,0.9509290058202496,0.8279637131323516,0.7873347105841895,0.9509290058202496,0.010196231171070772,236,3302,13.991525423728813
2483014-B4,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,45795.0,7568.0,166423.28622006896,84529.51321304902,45795.0,7568.0,165399.0,82481.03498861048,0.9651178333359303,0.6156614240678477,0.5941858196648745,0.9651178333359303,0.005936979813791148,281,3930,13.98576512455516
2483055-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,31457.0,3040.0,168886.17219179397,75632.0,31457.0,3040.0,166838.0184486776,77680.0,0.9584591484269792,0.7048973035827015,0.7139824955653341,1.0128886746146655,0.0077462924486579226,270,3762,13.933333333333334
2483073-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7872.0,128.0,131265.0605057906,74328.56489468405,7872.0,128.0,132721.01512644766,71921.03851168389,0.9566324247221037,0.8477220748453922,0.8298947169348004,0.9789702799542608,0.008951967343555566,231,3203,13.865800865800866
2483211-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,11344.0,1520.0,132768.03075444498,84432.19937694704,11344.0,1520.0,133936.00768861125,82771.0,0.9708132072629979,0.9198174177459232,0.9100587304971469,0.98939062572582,0.006487928126178587,288,4031,13.996527777777779
2483215-B5,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8160.0,6384.0,126951.42045987799,84692.23760905885,8160.0,6384.0,128999.01501510308,85716.01187990162,0.9703689256650746,0.7912111014178869,0.8153714329584534,1.030535885425862,0.007094042110024384,228,3269,14.337719298245615
2483215-B6,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7856.0,6545.0,151169.05208545268,80737.67801740447,7856.0,6545.0,151169.01302136318,81761.02421147207,0.9863943068914541,0.7991876141439392,0.810210659004424,1.0137928124327755,0.0028651294313470944,315,4686,14.876190476190477
2483220-B1,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7824.0,4880.0,151416.24734299516,78212.23760905885,7824.0,4880.0,149368.00687026998,80260.01187990162,0.9593289525236048,0.8196052131369425,0.8304748208619097,1.0132620041341185,0.008410792745640633,286,3900,13.636363636363637
2483363-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7920.0,4448.0,146534.32411901245,79603.23760905885,7920.0,4448.0,144486.0,78579.01187990162,0.9717961037759163,0.796900613797007,0.7744249115845675,0.9717961037759161,0.006564071036796336,349,5012,14.361031518624642
2483768-B4,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8224.0,6608.0,115793.07104204246,62224.06066350711,8224.0,6608.0,115793.01776051061,60176.01516587678,0.9631748094576499,0.76836352350561,0.7400683903467246,0.9631748094576501,0.007663243098124808,148,1903,12.858108108108109
2483846-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7664.0,272.0,134224.0,69227.80308880309,7664.0,272.0,133200.0,66155.01544122082,0.9477078281084117,0.9910525151323725,0.9392282266574796,0.9477078281084117,0.01091107397727165,194,2766,14.257731958762887
2483850-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7793.0,5136.0,94680.53120510775,88609.51321304902,7793.0,5136.0,93656.01021426007,86561.03498861048,0.9639575607448088,0.8239472670070341,0.7942501976864522,0.9639575607448088,0.008593269084623266,163,2419,14.840490797546012
2483862-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8032.0,6608.0,112946.15980024969,84225.51321304902,8032.0,6608.0,112946.00798976312,83201.03498861048,0.9867995119667534,0.7236274525279119,0.7140752170002885,0.9867995119667534,0.0032971855271891042,198,2674,13.505050505050505
2483868-B4,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7824.0,6528.0,119220.23021582734,76160.33817701454,7824.0,6528.0,118196.02466518932,77184.0362315422,0.9765805721929551,0.7344876479874629,0.7384333513909725,1.0053720486849862,0.0048053831398010205,244,3630,14.87704918032787
2483961-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8432.0,6720.0,110387.17048481619,67793.44804200393,8432.0,6720.0,111411.00852395697,66769.0,0.9736129065188106,0.708631845960085,0.7037419763230341,0.9930995626785221,0.005148855855618613,190,2652,13.957894736842105
2483973-B1,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7888.0,784.0,145294.43083136991,77552.0,7888.0,784.0,143246.02153975598,75504.0,0.9588122542491814,0.8891149601125249,0.852494319192161,0.9588122542491814,0.00877179093884414,300,4402,14.673333333333334
2483993-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,18337.0,6192.0,83873.40329074042,89418.51321304902,18337.0,6192.0,84897.01120154021,88394.03498861048,0.9726851989022228,0.6795289807192351,0.6816471691492072,1.003117142152981,0.005712727476463468,228,3420,15.0
2484004-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8352.0,3488.0,127838.4855228221,85712.23760905885,8352.0,3488.0,126814.02427383926,84768.01187990162,0.9800410463156529,0.9006031407376353,0.8826280443636753,0.9800410463156529,0.004549330282039981,309,4442,14.375404530744337
2484209-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,9216.0,80.0,146970.32802989855,73312.15802469137,9216.0,80.0,145942.0,72288.03950617283,0.9786549056174655,0.8657082064585135,0.8472295830839217,0.9786549056174654,0.004298181281184358,393,5862,14.916030534351146
2484220-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7776.0,8977.0,131571.18045112782,85409.51321304902,7776.0,8977.0,129523.01503715233,85409.03498861048,0.9834490554833736,0.791228263248861,0.7781326881638425,0.9834490554833738,0.006319661053532982,378,5652,14.952380952380953
2484228-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7664.0,0.0,142245.1704015975,90112.51321304902,7664.0,0.0,140197.0141997393,88064.03498861048,0.9623947663711953,0.957644777752526,0.9216323221517375,0.9623947663711953,0.008577702284385914,467,6897,14.768736616702355
