fold,slide_id,valid_low_parent_count,pair_sample_count,pair_sampling_seed,within_slide_cosine_mean,within_slide_cosine_std,within_slide_cosine_min,within_slide_cosine_max,low_feature_variance,low_feature_dispersion
1,2468419-B3,249,1024,363,0.8340535759925842,0.11777717620134354,0.3527035415172577,0.9769106507301331,2.1672403812408447,1109.626953125
1,2468442-B2,396,1024,364,0.8043416142463684,0.10263507813215256,0.36609432101249695,0.977435827255249,2.480362892150879,1269.9456787109375
1,2468450-B2,183,1024,365,0.7989413738250732,0.08318895846605301,0.5245694518089294,0.9625239372253418,2.544705390930176,1302.8890380859375
1,2468720-B2,244,1024,366,0.8459388613700867,0.08638543635606766,0.37942415475845337,0.9718329906463623,1.999653935432434,1023.8228759765625
1,2468954-B2,107,1024,367,0.776574969291687,0.08044537156820297,0.5548176169395447,0.950154185295105,2.6827170848846436,1373.5511474609375
1,2469019-B2,257,1024,368,0.8171825408935547,0.07712350785732269,0.574816107749939,0.9668713808059692,2.3904569149017334,1223.9140625
1,2469023-B4,173,1024,369,0.7455236911773682,0.11442342400550842,0.2999834716320038,0.9563316702842712,3.035127639770508,1553.9853515625
1,2469072-B2,203,1024,370,0.7564782500267029,0.09950195252895355,0.38661327958106995,0.9583272933959961,2.9434456825256348,1507.0440673828125
1,2469110-B3,189,1024,371,0.8029769659042358,0.07735796272754669,0.5691840052604675,0.9520902633666992,2.444042444229126,1251.3497314453125
1,2469260-B3,201,1024,372,0.7799950838088989,0.08100482821464539,0.5524697303771973,0.960537850856781,2.6691551208496094,1366.607421875
1,2469515-B2,83,1024,373,0.8515293598175049,0.06536348909139633,0.6377687454223633,0.9714183211326599,1.9095995426177979,977.7149658203125
1,2470647-B2,318,1024,374,0.7751991748809814,0.08694568276405334,0.3927515745162964,0.954590916633606,2.794445037841797,1430.7557373046875
1,2472481-B2,155,1024,375,0.8010832667350769,0.10457079112529755,0.3204365074634552,0.9642289280891418,2.517744541168213,1289.085205078125
1,2472509-B4,245,1024,376,0.7638678550720215,0.10396162420511246,0.31905582547187805,0.940532386302948,2.7629151344299316,1414.6124267578125
1,2473218-B2,321,1024,377,0.8100274801254272,0.09252381324768066,0.32945090532302856,0.9631484746932983,2.2939090728759766,1174.4814453125
1,2473228-B2,188,1024,378,0.7971687912940979,0.08315416425466537,0.4777313768863678,0.9687734842300415,2.52337908744812,1291.9700927734375
1,2473545-B2,422,1024,379,0.7828999757766724,0.10126796364784241,0.27539706230163574,0.9539402723312378,2.6894142627716064,1376.9801025390625
1,2473545-B3,248,1024,380,0.8013206124305725,0.07647652924060822,0.5115978717803955,0.9584574699401855,2.5024573802948,1281.2581787109375
1,2473623-B2,73,1024,381,0.8140881657600403,0.07546631991863251,0.5481669306755066,0.9537521004676819,2.20357084274292,1128.2281494140625
1,2474188-B2,317,1024,382,0.7963235974311829,0.1105964407324791,0.29423707723617554,0.9766075015068054,2.5547971725463867,1308.0562744140625
1,2474626-B2,212,1024,383,0.8164077997207642,0.0782681256532669,0.5693914890289307,0.9687144756317139,2.27396559715271,1164.2703857421875
1,2474704-B2,144,1024,384,0.808601975440979,0.08038193732500076,0.5909280180931091,0.9698421359062195,2.4061763286590576,1231.9622802734375
1,2476242-B2,240,1024,385,0.7714728116989136,0.12017929553985596,0.2961216866970062,0.9648118019104004,2.804399013519287,1435.852294921875
1,2476358-B2,212,1024,386,0.8395841717720032,0.08213675022125244,0.5334979295730591,0.9688495397567749,2.039992094039917,1044.47607421875
1,2476376-B2,262,1024,387,0.8006436824798584,0.11618474125862122,0.3361383080482483,0.9785054922103882,2.485501527786255,1272.5767822265625
1,2476834-B3,303,1024,388,0.758447527885437,0.08930916339159012,0.3345932364463806,0.9528325796127319,2.8774399757385254,1473.249267578125
1,2476983-B,181,1024,389,0.7813429236412048,0.07030092179775238,0.5540293455123901,0.9528342485427856,2.5506491661071777,1305.9324951171875
1,2477274-B3,127,1024,390,0.8113019466400146,0.07159316539764404,0.5971095561981201,0.9718543291091919,2.2841763496398926,1169.498291015625
1,2477577-B3,254,1024,391,0.8010295629501343,0.10326782613992691,0.3236071765422821,0.9682681560516357,2.4039371013641357,1230.81591796875
1,2477670-B2,262,1024,392,0.7807220816612244,0.10955249518156052,0.34673240780830383,0.9603790640830994,2.732357978820801,1398.96728515625
1,2482483-B2,339,1024,393,0.8155440092086792,0.07575146108865738,0.5517228841781616,0.9671283960342407,2.42529296875,1241.75
1,2482952-B2,235,1024,394,0.7932345867156982,0.07449363172054291,0.5673558115959167,0.9606263637542725,2.5694403648376465,1315.5535888671875
1,2483055-B2,270,1024,395,0.7488722801208496,0.11903123557567596,0.2556532323360443,0.9562404155731201,3.049675941467285,1561.4342041015625
1,2484312-B2,305,1024,396,0.7874432802200317,0.0859951302409172,0.5379380583763123,0.9575670957565308,2.772474527359009,1419.5068359375
1,2484633-B2,153,1024,397,0.7917438745498657,0.08124679327011108,0.568235456943512,0.9592772126197815,2.5841259956359863,1323.072509765625
1,2484734-B5,97,1024,398,0.7819851636886597,0.07879374176263809,0.5373501181602478,0.9516966938972473,2.6671948432922363,1365.6038818359375
1,2484743-B4,120,1024,399,0.7893231511116028,0.07735862582921982,0.5052092671394348,0.9538732767105103,2.609900951385498,1336.2694091796875
1,2485303-B2,247,1024,400,0.7938028573989868,0.07039430737495422,0.5197592377662659,0.9555526375770569,2.5304977893829346,1295.614990234375
1,2486653-B2,244,1024,401,0.805456817150116,0.07419323176145554,0.5515731573104858,0.9720682501792908,2.485985517501831,1272.8245849609375
1,2486812-B2,294,1024,402,0.8295638561248779,0.0771719440817833,0.5542542338371277,0.9805864095687866,2.158670663833618,1105.2393798828125
1,2486813-B2,108,1024,403,0.8318852186203003,0.06792493164539337,0.6324928402900696,0.9689679741859436,2.0928547382354736,1071.5418701171875
1,2486845-B2,154,1024,404,0.7487396001815796,0.0960284024477005,0.3907908499240875,0.9372475147247314,2.850564479827881,1459.4891357421875
1,2487246-B2,90,1024,405,0.811798095703125,0.0689806193113327,0.5849103927612305,0.9532798528671265,2.2663872241973877,1160.3902587890625
1,2487388-B2,239,1024,406,0.7978594303131104,0.07004107534885406,0.5740931034088135,0.9559776186943054,2.5430023670196533,1302.01708984375
1,2488320-B3,121,1024,407,0.8094630241394043,0.07383444905281067,0.6027050018310547,0.9744253754615784,2.364635705947876,1210.6934814453125
