slide_id,low_count,high_count,low_with_child_count,low_with_child_ratio,low_no_child_count,low_child_count_mean,low_child_count_median,low_child_count_min,low_child_count_max,low_16_child_count,low_16_child_ratio,high_with_parent_count,high_with_parent_ratio,high_no_parent_count,high_multi_parent_count,high_parent_count_max,high_center_inside_total,high_fully_inside_total,high_overlap_total,low_w,low_h,high_w,high_h,fov_ratio_x,fov_ratio_y
25026103B2,213,3274,213,1.0,0,31.868544600938968,36.0,10,36,1,0.004694835680751174,3246,0.9914477703115455,28,2234,4,3123,3123,6788,4096.369736695922,4096.153661464586,1024.0071097286639,1024.0384153661464,4.00033329630041,4.0
25026144B2,282,4093,282,1.0,0,29.648936170212767,32.0,9,36,4,0.014184397163120567,4036,0.9860737845101393,57,2750,4,3852,3842,8361,4096.059708454811,4096.050334250885,1024.0149271137027,1024.0125835627211,4.0,4.0
25026144B3,252,3365,252,1.0,0,26.78968253968254,27.0,6,36,8,0.031746031746031744,3319,0.986329866270431,46,2180,6,3140,3132,6751,4096.403491755577,4096.150264136177,1024.007758751326,1024.0375660340442,4.000363724539282,4.0
25026285B2,368,5526,368,1.0,0,31.58695652173913,36.0,3,36,1,0.002717391304347826,5487,0.992942453854506,39,3837,4,5297,5297,11624,4096.085676037484,4096.513213049025,1024.021419009371,1024.0349886104784,4.0,4.000364497904137
25026294B3,416,5954,416,1.0,0,29.829326923076923,34.0,6,36,5,0.01201923076923077,5902,0.9912663755458515,52,4082,4,5693,5689,12409,4096.269293296356,4096.3631205673755,1024.0183600286875,1024.0389038042651,4.000191259443435,4.000202634245188
25026499B3,296,4304,296,1.0,0,28.570945945945947,30.0,7,36,8,0.02702702702702703,4230,0.9828066914498141,74,2733,4,3955,3955,8457,4096.362312980186,4096.442141623489,1024.0129387682898,1024.0122805334356,4.000303275374041,4.000383803492612
25026509B,202,2939,202,1.0,0,21.163366336633665,23.0,3,25,7,0.034653465346534656,2885,0.9816264035386186,54,1109,4,2805,2805,4275,4096.124332200097,4096.681455190772,1024.0,1024.0,4.000121418164158,4.000665483584738
25026752B,148,2142,148,1.0,0,23.10135135135135,25.0,4,30,5,0.033783783783783786,2050,0.9570494864612512,92,1026,5,1932,1916,3419,4096.306037059175,4096.357625145518,1024.0,1024.0298003608636,4.0002988643156,4.0002328288707805
25026782B3,205,2791,205,1.0,0,27.08780487804878,30.0,4,36,4,0.01951219512195122,2697,0.966320315299176,94,1829,4,2608,2592,5553,4096.085676037484,4096.114515768285,1024.021419009371,1024.0286289420712,4.0,4.0
25026797B2,76,1002,76,1.0,0,19.105263157894736,20.0,3,30,6,0.07894736842105263,896,0.8942115768463074,106,430,4,825,818,1452,4096.3267806995145,4096.199376947041,1024.016337992214,1024.0,4.0002552974214955,4.000194704049845
