slide_id,scale,patch_count,padding_bucket,count,fraction
2488767-B,20x,7110,<=5%,7080,0.9957805907172996
2488767-B,20x,7110,25-50%,29,0.004078762306610408
2488767-B,20x,7110,>50%,1,0.00014064697609001407
2488769-B2,5x,161,<=5%,161,1.0
2488769-B2,20x,2229,<=5%,2229,1.0
2488806-B2,5x,311,<=5%,311,1.0
2488806-B2,20x,4653,<=5%,4653,1.0
2488916-B2,5x,463,<=5%,462,0.9978401727861771
2488916-B2,5x,463,5-10%,1,0.0021598272138228943
2488916-B2,20x,6989,<=5%,6989,1.0
2488932-B4,5x,377,<=5%,377,1.0
2488932-B4,20x,5478,<=5%,5478,1.0
2489131-B3,5x,55,<=5%,55,1.0
2489131-B3,20x,803,<=5%,803,1.0
2489137-B4,5x,358,<=5%,358,1.0
2489137-B4,20x,5205,<=5%,5205,1.0
2489182-B2,5x,275,<=5%,274,0.9963636363636363
2489182-B2,5x,275,25-50%,1,0.0036363636363636364
2489182-B2,20x,3726,<=5%,3726,1.0
2489203-B,5x,388,<=5%,386,0.9948453608247423
2489203-B,5x,388,>50%,2,0.005154639175257732
2489203-B,20x,5588,<=5%,5585,0.9994631352899069
2489203-B,20x,5588,25-50%,3,0.0005368647100930566
2489331-B2,5x,221,<=5%,221,1.0
2489331-B2,20x,3091,<=5%,3072,0.9938531219670009
2489331-B2,20x,3091,>50%,9,0.0029116790682626984
2489331-B2,20x,3091,10-25%,10,0.003235198964736331
25012148B4,5x,280,<=5%,280,1.0
25012148B4,20x,4023,<=5%,4023,1.0
25012153B2,5x,216,<=5%,216,1.0
25012153B2,20x,3047,<=5%,3047,1.0
25012170B4,5x,202,<=5%,202,1.0
25012170B4,20x,2651,<=5%,2651,1.0
25012170B5,5x,271,<=5%,271,1.0
25012170B5,20x,3902,<=5%,3902,1.0
25012175B4,5x,122,<=5%,122,1.0
25012175B4,20x,1586,<=5%,1586,1.0
25012253B3,5x,101,<=5%,101,1.0
25012253B3,20x,1418,<=5%,1418,1.0
25012485B2,5x,293,<=5%,291,0.9931740614334471
25012485B2,5x,293,25-50%,1,0.0034129692832764505
25012485B2,5x,293,10-25%,1,0.0034129692832764505
25012485B2,20x,4287,<=5%,4285,0.9995334732913459
25012485B2,20x,4287,25-50%,2,0.00046652670865407047
25012628B2,5x,173,<=5%,173,1.0
25012628B2,20x,2487,<=5%,2487,1.0
25012760B2,5x,429,<=5%,429,1.0
25012760B2,20x,6463,<=5%,6463,1.0
25012785B2,5x,349,<=5%,348,0.997134670487106
25012785B2,5x,349,25-50%,1,0.0028653295128939827
25012785B2,20x,4855,<=5%,4855,1.0
25012915B2,5x,308,<=5%,308,1.0
25012915B2,20x,4380,<=5%,4380,1.0
25012919B8,5x,210,<=5%,206,0.9809523809523809
25012919B8,5x,210,>50%,2,0.009523809523809525
25012919B8,5x,210,25-50%,2,0.009523809523809525
25012919B8,20x,3023,<=5%,3017,0.99801521667218
25012919B8,20x,3023,25-50%,6,0.0019847833278200462
25012919B9,5x,235,<=5%,235,1.0
25012919B9,20x,3360,<=5%,3360,1.0
25013023B2,5x,352,<=5%,349,0.9914772727272727
25013023B2,5x,352,5-10%,2,0.005681818181818182
25013023B2,5x,352,10-25%,1,0.002840909090909091
25013023B2,20x,5101,<=5%,5098,0.9994118800235248
25013023B2,20x,5101,10-25%,3,0.000588119976475201
25013062B3,5x,143,<=5%,143,1.0
25013062B3,20x,2113,<=5%,2113,1.0
25013162B2,5x,177,<=5%,177,1.0
25013162B2,20x,2510,<=5%,2510,1.0
25013189B2,5x,251,<=5%,251,1.0
25013189B2,20x,3510,<=5%,3510,1.0
25013189B3,5x,250,<=5%,250,1.0
25013189B3,20x,3468,<=5%,3468,1.0
25013352B2,5x,445,<=5%,434,0.9752808988764045
25013352B2,5x,445,10-25%,5,0.011235955056179775
25013352B2,5x,445,25-50%,6,0.01348314606741573
25013352B2,20x,6447,<=5%,6438,0.9986040018613308
25013352B2,20x,6447,>50%,9,0.0013959981386691485
25013465B2,5x,347,<=5%,347,1.0
25013465B2,20x,5209,<=5%,5208,0.9998080245728547
25013465B2,20x,5209,10-25%,1,0.0001919754271453254
25013871B6,5x,359,>50%,2,0.005571030640668524
25013871B6,5x,359,<=5%,357,0.9944289693593314
25013871B6,20x,5249,<=5%,5241,0.9984759001714613
25013871B6,20x,5249,>50%,8,0.0015240998285387694
25013878B2,5x,265,<=5%,265,1.0
25013878B2,20x,3613,<=5%,3613,1.0
25014124B2,5x,352,<=5%,352,1.0
25014124B2,20x,5133,<=5%,5133,1.0
25014160B2,5x,168,<=5%,163,0.9702380952380952
25014160B2,5x,168,25-50%,5,0.02976190476190476
25014160B2,20x,2297,<=5%,2295,0.9991292990857641
25014160B2,20x,2297,10-25%,2,0.0008707009142359599
25014217B2,5x,46,<=5%,46,1.0
25014217B2,20x,571,<=5%,571,1.0
25014217B3,5x,125,<=5%,125,1.0
25014217B3,20x,1679,<=5%,1679,1.0
25014226B2,5x,236,<=5%,236,1.0
25014226B2,20x,3314,<=5%,3314,1.0
25014265B2,5x,199,<=5%,199,1.0
25014265B2,20x,2711,<=5%,2711,1.0
25014268B,5x,172,<=5%,172,1.0
25014268B,20x,2332,<=5%,2332,1.0
25014311B2,5x,132,<=5%,132,1.0
25014311B2,20x,1752,<=5%,1752,1.0
25014318B,5x,125,<=5%,125,1.0
25014318B,20x,1708,<=5%,1708,1.0
25014684B,5x,400,<=5%,399,0.9975
25014684B,5x,400,25-50%,1,0.0025
25014684B,20x,5744,<=5%,5744,1.0
25015070B2,5x,218,<=5%,218,1.0
25015070B2,20x,3053,<=5%,3053,1.0
25015087B2,5x,225,<=5%,225,1.0
25015087B2,20x,3171,<=5%,3171,1.0
25015101B2,5x,205,<=5%,205,1.0
25015101B2,20x,2961,<=5%,2961,1.0
25015103B2,5x,134,<=5%,134,1.0
25015103B2,20x,1841,<=5%,1841,1.0
25015190B2,5x,241,<=5%,241,1.0
25015190B2,20x,3479,<=5%,3479,1.0
25015204B2,5x,272,<=5%,271,0.9963235294117647
25015204B2,5x,272,25-50%,1,0.003676470588235294
25015204B2,20x,4122,<=5%,4122,1.0
25015234B2,5x,214,<=5%,214,1.0
