slide_id,low_no_child_count,high_no_parent_count,low_count,high_count
2484734-B5,0,19,97,1369
2484743-B4,0,21,120,1729
2484771-B3,0,61,95,1210
2484791-B3,0,14,79,1067
2484883-B2,0,56,258,3583
2485059-B2,0,62,265,3915
2485259-B6,0,24,174,2328
2485275-B2,0,38,320,4591
2485303-B2,0,34,247,3388
2485318-B2,0,57,116,1626
2485322-B2,0,26,95,1214
2485328-B2,0,18,191,2630
2485517-B2,0,65,84,1068
2485635-B2,0,53,253,3774
2485803-B2,0,54,519,7752
2485805-B,0,45,362,5106
2485969-B2,0,123,403,5798
2486100-B,0,23,280,4110
2486104-B1,0,78,111,1420
2486104-B2,0,67,111,1527
2486165-B2,0,65,247,3554
2486191-B,0,23,252,3667
2486197-B2,0,15,256,3655
2486262-B4,0,52,141,2018
2486653-B2,0,20,244,3569
2486653-B3,0,51,318,4719
2486687-B3,0,22,211,3060
2486812-B2,0,85,294,4161
2486813-B2,0,24,108,1446
2486833-B2,0,42,154,2205
2486845-B2,0,88,154,2100
2486859-B2,0,230,60,944
2487140-B2,0,115,140,1907
2487143-B,0,82,204,2900
2487146-B2,0,42,156,2196
2487237-B2,0,27,191,2685
2487246-B2,0,29,90,1227
2487274-B2,0,11,197,2764
2487376-B2,0,21,344,5115
2487388-B2,0,28,239,3526
2487558-B2,0,18,137,1895
2487651-B,0,6,160,2295
2487656-B4,0,44,196,2661
2487664-B2,0,32,126,1748
2487896-B2,0,56,198,2495
2487935-B2,0,97,236,3434
2487941-B2,0,33,126,1654
2488039-B2,0,49,232,3196
2488044-B2,0,84,298,4181
2488044-B3,0,79,283,3998
2488050-B3,0,38,243,3528
2488065-B3,0,44,162,2276
2488320-B3,0,10,121,1703
2488330-B2,0,97,277,4011
2488344-B2,0,15,143,2098
2488369-B2,0,30,367,5365
2488475-B2,0,19,138,1880
2488477-B2,0,52,159,2259
2488767-B,0,26,478,7110
2488769-B2,0,60,161,2229
2488806-B2,0,65,311,4653
2488916-B2,0,42,463,6989
2488932-B4,0,73,377,5478
2489131-B3,0,120,55,803
2489137-B4,0,32,358,5205
2489182-B2,0,74,275,3726
2489203-B,0,38,388,5588
2489331-B2,0,232,221,3091
25012148B4,0,68,280,4023
25012153B2,0,44,216,3047
25012170B4,0,122,202,2651
25012170B5,0,123,271,3902
25012175B4,0,33,122,1586
25012253B3,0,25,101,1418
25012485B2,0,185,293,4287
25012628B2,0,20,173,2487
25012760B2,0,78,429,6463
25012785B2,0,77,349,4855
25012915B2,0,71,308,4380
25012919B8,0,20,210,3023
25012919B9,0,19,235,3360
25013023B2,0,91,352,5101
25013062B3,0,40,143,2113
25013162B2,0,67,177,2510
25013189B2,0,64,251,3510
25013189B3,0,38,250,3468
25013352B2,0,8,445,6447
25013465B2,0,73,347,5209
25013871B6,0,225,359,5249
25013878B2,0,52,265,3613
25014124B2,0,101,352,5133
25014160B2,0,69,168,2297
25014217B2,0,2,46,571
25014217B3,0,77,125,1679
25014226B2,0,123,236,3314
25014265B2,0,29,199,2711
25014268B,0,54,172,2332
25014311B2,0,55,132,1752
25014318B,0,100,125,1708
25014684B,0,27,400,5744
25015070B2,0,111,218,3053
25015087B2,0,91,225,3171
25015101B2,0,15,205,2961
25015103B2,0,34,134,1841
25015190B2,0,94,241,3479
25015204B2,0,87,272,4122
25015234B2,0,127,214,2869
25015408B3,0,26,149,2090
25015422B,0,103,168,2324
25015425B2,0,58,329,4334
25015488B2,0,51,183,2604
25015495B3,0,202,144,2146
25015495B4,0,81,219,3259
25015607B2,0,112,185,2657
25015622B2,0,127,289,3802
25015625B2,0,261,199,2904
25015811B3,0,41,114,1417
25015811B4,0,107,278,3983
25015820B,0,26,300,4362
25015863B2,0,100,363,5419
25015870B3,0,74,180,2419
25016077B2,0,16,127,1776
25016088B2,0,27,228,3359
25016772B2,0,48,345,4967
25016785B2,0,82,420,6163
25016801B2,0,37,370,5448
25016829B2,0,82,201,2897
25016903B4,0,40,274,3930
25016905B4,0,40,165,2378
25016915B2,0,45,193,2497
25016926B2,0,120,292,4024
25017089B2,0,126,308,4519
25017211B2,0,56,264,3869
25017218B3,0,56,157,1970
25017220B2,0,199,259,3397
25017227B2,0,37,314,4567
25017242B2,0,15,279,4033
25017320B2,0,65,283,4129
25017322B2,0,36,333,4954
25017338B3,0,24,309,4511
25017341B4,0,74,108,1485
25017354B5,0,34,119,1549
25017355B1,0,27,321,4467
25017372B2,0,67,152,1867
25017383B2,0,33,174,2570
25017515B2,0,28,412,6028
25017518B2,0,140,328,4794
25017538B4,0,86,226,3081
25017539B2,0,124,275,4009
25017539B3,0,38,333,4823
25017589B6,0,112,153,2176
25017711B,0,72,384,5679
25017716B2,0,11,218,3169
25017718B2,0,98,214,3188
25017738B2,0,20,334,4902
25017748B2,0,68,192,2671
25017767B2,0,34,210,2984
25017932B2,0,39,93,1261
25017948B3,0,16,288,4183
25018002B2,0,43,249,3688
25018050B2,0,39,195,2805
25018453B2,0,61,168,2250
25018457B2,0,47,282,4148
25018571B2,0,61,339,4925
25018910B2,0,40,145,2088
25019081B3,0,9,301,4444
25019102B4,0,68,312,4517
25019107B,0,2,235,3417
25019283B2,0,68,166,2178
25019284B2,0,61,244,3526
25019352B2,0,30,232,3152
25019376B2,0,44,412,6083
25019379B,0,15,219,3103
25019384B2,0,39,226,3241
25019457B2,0,23,192,2629
25019468B2,0,24,185,2556
25019508B4,0,10,178,2594
25019621B2,0,40,124,1765
25019621B4,0,15,181,2623
25019716B2,0,45,186,2594
25019773B3,0,1,139,1993
25019776B2,0,57,287,4229
25019790B2,0,63,438,6505
25019806B2,0,63,220,3141
25020257B2,0,56,287,4243
25020263B2,0,82,348,4827
25020282B2,0,50,342,5158
25020291B2,0,28,159,2136
25020573B3,0,34,286,4278
25020714B2,0,46,515,7718
25020717B2,0,145,219,3029
25020760B3,0,90,319,4559
25021120B4,0,40,281,4056
25021164B2,0,24,355,5257
25021171B2,0,28,136,1875
25021197B2,0,39,228,3106
25021260B2,0,16,260,3839
25021291B2,0,97,267,3862
25021419B1,0,97,317,4554
25021474B,0,34,171,2233
25021481B2,0,8,170,2451
25021538B2,0,22,269,3677
25021554B2,0,26,270,3937
25021575B4,0,15,95,1255
25021622B4,0,23,139,1976
25021640B3,0,34,392,5874
25021658B3,0,49,245,3291
25021662B2,0,9,243,3524
25021667B2,0,43,244,3355
25021668B2,0,167,174,2528
25021893B2,0,156,317,4645
25021894B2,0,44,250,3640
25021894B3,0,64,195,2791
25021901B2,0,23,318,4812
25021911B2,0,27,299,4120
25021918B4,0,25,288,4212
25021973B2,0,77,273,3837
25022019B2,0,6,112,1494
25022038B2,0,17,111,1581
25022262B2,0,109,242,3520
25022278B2,0,68,201,2839
25022330B2,0,66,269,3644
25022343B3,0,25,268,3850
25022354B2,0,50,312,4538
25022406B2,0,43,217,3157
25023016B6,0,90,362,5337
25023184B2,0,49,394,5792
25023573B,0,78,191,2681
25023590B3,0,134,222,2995
25023590B4,0,34,166,2256
25023687B2,0,121,234,3293
25023690B3,0,85,170,2315
25023814B,0,55,287,4032
25023869B3,0,107,136,1964
25023869B4,0,140,202,2761
25023930B2,0,58,138,1892
25023934B2,0,35,359,5427
25023936B2,0,9,235,3380
25023977B2,0,110,200,2514
25024142B2,0,40,131,1713
25024243B2,0,108,281,4146
25024302B4,0,23,166,2287
25024310B3,0,81,405,5984
25024431B,0,17,196,2750
25024688B2,0,27,171,2465
25024698B4,0,24,311,4574
25024709B2,0,65,239,3587
25024732B2,0,33,192,2729
25024855B3,0,30,126,1763
25024878B3,0,32,324,4685
25024982B2,0,37,261,3821
25024983B2,0,93,291,4255
25025083B2,0,68,217,3283
25025096B2,0,42,330,4868
25025102B2,0,184,401,5777
25025109B2,0,66,359,5272
25025240B,0,20,146,2110
25025245B2,0,59,247,3596
25025251B,0,33,206,2941
25025262B2,0,20,196,2904
25025297B,0,5,310,4651
25025298B2,0,24,386,5726
25025506B,0,78,218,3046
25025509B2,0,25,229,3442
25025510B1,0,18,336,5062
25025510B3,0,12,325,4841
25025567B3,0,14,287,4188
25025570B2,0,24,422,6303
25025575B2,0,19,385,5776
25025602B2,0,48,506,7540
25025675B2,0,57,310,4414
25025788B2,0,80,445,6674
25025953B2,0,114,410,5950
25025960B2,0,109,195,2649
25026075B2,0,0,196,2883
25026081B2,0,3,240,3397
25026103B3,0,37,174,2557
25026163B,0,44,336,4868
25026180B2,0,63,415,6279
25026254B2,0,20,379,5696
25026291B2,0,96,450,6838
25026669B2,0,135,233,3176
25026740B2,0,147,333,4969
25026798B2,0,213,410,5921
25027122B2,0,28,247,3580
25027135B3,0,47,196,2843
25027167B2,0,8,239,3488
25027290B2,0,60,420,6087
25012148B3,0,79,239,3493
25017073B2,0,40,148,2194
25018584B,0,132,246,3393
25018592B,0,23,98,1359
2490526B3,0,77,201,2774
2490547B2,0,92,189,2521
2490750B4,0,10,79,1097
2490820B2,0,32,133,1812
2490820B3,0,15,134,1844
2490837B2,0,34,209,2909
2490844B1,0,41,265,3668
2490860B2,0,9,291,4208
2490963B2,0,44,258,3611
2490964B2,0,125,113,1439
2490972B8,0,50,191,2801
2490978B2,0,11,138,1934
2491131B2,0,29,264,3875
2491191B2,0,49,223,3305
2491191B3,0,30,315,4558
2491226B2,0,41,193,2680
2491275B2,0,42,214,3062
2491560B2,0,74,128,1611
25001929B3,0,32,179,2411
25001939B2,0,14,241,3385
25001965B2,0,16,150,2014
25001966B2,0,63,259,3708
25002073B3,0,22,172,2331
25002238B,0,35,343,4907
25002328B2,0,17,87,1120
